RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency
150162990250013,Foreman High School,Chicago,11.6,*,14.7
150162990252206,Fort Dearborn Elem School,Chicago,25.9,9.8,*
150162990252618,Foster Park Elem School,Chicago,24.0,11.8,*
150162990252207,Franklin Elem Fine Arts Center,Chicago,65.4,34.6,55.4
150162990252945,Frazier Perspectives Magnet ES,Chicago,36.4,*,*
150162990252210,Fulton Elem School,Chicago,12.2,10.0,*
150162990252211,Funston Elem School,Chicago,26.2,10.1,*
150162990250015,Gage Park High School,Chicago,*,*,*
150162990252212,Gale Elem Community Academy,Chicago,11.6,*,*
150162990252878,Galileo Elem Math & Sci Schol Acd,Chicago,66.6,45.8,41.2
150162990252213,Gallistel Elem Language Academy,Chicago,38.5,17.1,22.6
150162990252964,Garcia Lorca Elem School,Chicago,41.1,27.2,30.0
150162990252773,Garvey  M Elem School,Chicago,35.9,9.6,*
150162990252214,Garvy  J Elem School,Chicago,58.5,44.1,55.7
150162990252215,Gary Elem School,Chicago,30.2,18.7,18.2
150162990252236,Gillespie Elem School,Chicago,25.3,8.7,19.2
150162990252220,Goethe Elem School,Chicago,55.3,35.2,40.7
150162990250861,Goode STEM Academy HS,Chicago,22.2,8.7,23.1
150162990252223,Goudy Technology Academy,Chicago,50.2,38.6,34.4
150162990252224,Graham  A Elem School,Chicago,17.9,6.5,25.5
150162990252226,Gray Elem School,Chicago,39.5,24.5,34.3
15016299025241,Great Lakes Academy Charter ES,Chicago,50.1,24.6,21.7
150162990252227,Greeley Elem School,Chicago,36.6,28.0,25.0
150162990252048,Green  W Elem School,Chicago,32.7,11.3,26.0
150162990252229,Greene N Elem School,Chicago,49.2,35.8,*
150162990252230,Gregory Math & Sci Elem Academy,Chicago,38.4,19.1,*
150162990252231,Gresham Elem School,Chicago,40.9,15.6,*
150162990252232,Grimes Elem School,Chicago,50.4,40.3,31.0
150162990252622,Grissom Elem School,Chicago,54.9,18.9,34.2
150162990252811,Gunsaulus Elem Scholastic Academy,Chicago,43.0,31.5,34.3
150162990252235,Haines Elem School,Chicago,72.5,73.2,59.8
150162990252239,Hale Elem School,Chicago,42.7,27.0,41.0
150162990252092,Haley Elem Academy,Chicago,26.6,11.8,14.4
150162990252240,Hamilton Elem School,Chicago,76.5,69.5,73.5
150162990252241,Hamline Elem School,Chicago,17.3,11.7,*
150162990252242,Hammond Elem School,Chicago,29.9,13.4,*
150162990252916,Hampton Elem Fine & Perf Arts Sch,Chicago,30.6,10.3,15.2
150162990250779,Hancock College Preparatory HS,Chicago,91.4,70.0,85.8
150162990252726,Hanson Park Elem School,Chicago,34.2,23.6,35.6
150162990250016,Harlan Community Academy HS,Chicago,*,*,14.7
150162990252052,Harriet Tubman Elem School,Chicago,68.5,44.8,49.3
150162990252246,Harvard Elem School,Chicago,27.2,8.3,*
150162990252247,Haugan Elem School,Chicago,23.4,19.5,17.3
150162990252249,Hawthorne Elem Scholastic Academy,Chicago,96.0,95.3,89.5
150162990252636,Hay Elem Community Academy,Chicago,34.6,14.0,*
150162990252252,Hayt Elem School,Chicago,38.7,23.9,29.3
150162990252254,Healy Elem School,Chicago,73.4,67.2,61.3
150162990252255,Hearst Elem School,Chicago,18.8,9.7,*
150162990252256,Hedges Elem School,Chicago,26.4,9.7,18.6
150162990252257,Hefferan Elem School,Chicago,12.4,*,*
150162990252258,Henderson Elem School,Chicago,27.0,*,*
150162990252259,Hendricks Elem Community Academy,Chicago,12.6,8.8,*
150162990252260,Henry Elem School,Chicago,36.0,20.9,27.9
150162990252597,Hernandez Middle School,Chicago,31.9,17.9,21.3
150162990252263,Herzl Elem School,Chicago,7.3,*,*
150162990252265,Hibbard Elem School,Chicago,26.4,22.7,18.5
150162990252266,Higgins Elem Community Academy,Chicago,33.8,11.0,*
150162990250019,Hirsch Metropolitan High School,Chicago,*,*,*
150162990252268,Hitch Elem School,Chicago,51.7,29.3,44.9
150162990252269,Holden Elem School,Chicago,43.4,41.6,39.5
150162990252270,Holmes Elem School,Chicago,13.3,*,*
15016299025240,Horizon Sci Academy - Southwest Charter,Chicago,44.3,21.5,20.1
150162990252273,Howe Elem School,Chicago,18.8,*,15.2
150162990252275,Hoyne Elem School,Chicago,47.0,28.4,28.6
150162990250020,Hubbard High School,Chicago,31.8,8.7,24.6
150162990252276,Hughes  C Elem School,Chicago,21.0,16.3,*
150162990252620,Hughes L Elem School,Chicago,24.7,5.5,*
150162990252280,Hurley Elem School,Chicago,51.1,27.8,30.1
150162990250021,Hyde Park Academy High School,Chicago,11.5,*,11.2
15016299025012,IHSCA Charter High School,Chicago,15.0,8.6,18.3
15016299025020,IJLA Charter High School,Chicago,*,*,*
150162990250837,Infinity Math  Science & Tech HS,Chicago,48.2,27.7,34.8
150162990252358,Inter-American Elem Magnet School,Chicago,53.3,38.2,49.3
15016299025022,Intrinsic Charter High School,Chicago,42.0,17.4,29.5
150162990252281,Irving Elem School,Chicago,24.0,*,*
150162990252046,Jackson M Elem School,Chicago,15.5,9.9,*
150162990252284,Jahn Elem School,Chicago,40.7,20.0,30.8
150162990252209,James Farmer Jr. Elementary,Chicago,24.9,13.6,19.7
150162990252937,James R Doolittle Academy,Chicago,15.0,*,*
150162990252285,Jamieson Elem School,Chicago,59.5,40.8,40.0
150162990252288,Jensen Elem Scholastic Academy,Chicago,35.6,12.3,*
150162990252402,John J Pershing STEAM Magnet Elementary,Chicago,29.4,7.9,20.7
150162990252290,Johnson STEAM Elementary,Chicago,23.1,*,*
150162990250533,Jones College Prep High School,Chicago,90.5,84.3,85.7
150162990252775,Joplin Elem School,Chicago,38.0,22.2,25.5
150162990252889,Jordan Elem Community School,Chicago,28.8,24.0,*
150162990252292,Joseph Jungman STEM Magnet Elementary School,Chicago,40.6,22.7,25.2
150162990250767,Juarez Community Academy HS,Chicago,36.3,14.1,26.1
150162990250763,Julian High School,Chicago,*,*,11.1
150162990252806,Kanoon Elem Magnet School,Chicago,21.0,11.0,18.5
150162990252739,Keller Elem Gifted Magnet School,Chicago,96.4,92.8,89.1
150162990252892,Kellman Corporate Community Elem,Chicago,25.6,*,*
150162990252293,Kellogg Elem School,Chicago,69.9,44.9,43.9
150162990250023,Kelvyn Park High School,Chicago,11.0,*,8.8
150162990250024,Kennedy High School,Chicago,35.6,15.6,32.3
150162990250025,Kenwood Academy High School,Chicago,70.4,52.9,60.3
150162990252294,Kershaw Elem School,Chicago,32.8,15.4,*
150162990252296,Kilmer Elem School,Chicago,29.8,20.0,23.2
150162990252267,King Academy of Social Justice,Chicago,15.8,*,*
150162990250039,King College Prep High School,Chicago,36.9,14.7,34.3
150162990252299,Kinzie Elem School,Chicago,71.8,41.4,48.3
150162990252300,Kipling Elem School,Chicago,35.6,25.2,39.5
15016299025101,KIPP Academy Chicago Campus,Chicago,23.6,11.3,12.6
15016299025245,KIPP Chicago Charter School - KIPP One Academy,Chicago,31.8,20.9,29.6
15016299025282,KIPP Chicago Charters - Ascend Academy,Chicago,30.1,13.1,23.9
15016299025103,KIPP Chicago Charters - Bloom Campus,Chicago,31.6,11.9,22.4
150162990252304,Kozminski Elem Community Academy,Chicago,37.8,14.0,20.8
150162990250026,Lake View High School,Chicago,34.9,14.1,26.2
150162990250027,Lane Technical High School,Chicago,91.4,87.5,89.2
150162990252704,Langford A Elem School,Chicago,24.0,10.7,*
150162990252900,Lara Elem Academy,Chicago,25.5,9.7,29.5
150162990252306,LaSalle Elem Language Academy,Chicago,67.9,56.7,51.0
150162990252955,LaSalle II Lang Acad Elem Sch,Chicago,67.5,61.3,66.0
150162990252492,Lavizzo Elem School,Chicago,25.5,6.3,*
150162990252309,Lawndale Elem Community Academy,Chicago,13.6,*,*
15016299025272,LEARN Charter Excel Campus,Chicago,52.8,40.3,*
15016299025275,LEARN Chtr -  Hunter Perkins Campus,Chicago,49.3,21.5,15.7
15016299025276,LEARN Chtr - 7th Campus,Chicago,24.3,23.2,*
15016299025283,LEARN Chtr - Butler,Chicago,37.2,30.7,18.2
15016299025109,LEARN Chtr - Middle School,Chicago,51.7,15.2,21.7
15016299025274,LEARN Chtr - South Chicago Campus,Chicago,38.8,29.5,18.4
15016299025273,LEARN Chtr-Campbell Campus,Chicago,43.5,34.1,*
150162990252703,Lee Elem School,Chicago,44.8,36.4,27.5
15016299025221,Legacy Elem Charter School,Chicago,39.2,11.7,17.5
15016299025019,Legal Prep Academy Charter HS,Chicago,*,*,*
150162990252714,Leland Elem School,Chicago,16.6,6.4,*
150162990252856,Lenart Elem Regional Gifted Ctr,Chicago,89.0,70.9,85.0
150162990252311,Lewis Elem School,Chicago,19.2,7.3,*
150162990252313,Libby Elem School,Chicago,33.5,7.7,*
150162990252314,Lincoln Elem School,Chicago,86.4,80.1,83.0
150162990250047,Lincoln Park High School,Chicago,74.2,50.2,66.2
150162990250833,Lindblom Math & Science Acad HS,Chicago,78.8,48.7,63.6
150162990252315,Linne Elem School,Chicago,47.6,29.0,49.6
150162990252896,Little Village Elem School,Chicago,29.6,11.5,26.3
150162990252316,Lloyd Elem School,Chicago,30.0,21.7,15.7
150162990252317,Locke  J Elem School,Chicago,36.5,18.6,23.0
15016299025206,Locke A Elem Charter Academy,Chicago,60.1,36.3,*
150162990252355,Logan Square Elementary,Chicago,25.4,13.9,20.6
150162990252319,Lovett Elem School,Chicago,50.2,23.4,24.3
150162990252321,Lowell Elem School,Chicago,26.3,*,21.5
